Ano,Mes,Dia,Temperatura,Precipitacao,Dia da Semana,Distancia Data Posterior,Distancia Data Anterior,Vendas 1d anterior,Vendas 2d anterior,Vendas 3d anterior,Vendas 4d anterior,Vendas 5d anterior,Total
2018,5,16,27.2,70.5,3,1,1,490,413,319,529,453,442
2018,5,15,22.6,77,2,1,1,413,319,529,453,503,490
2018,5,14,25.6,77,1,1,3,319,529,453,503,439,413
2018,5,11,27.3,59.25,5,3,1,529,453,503,439,344,319
2018,5,10,26.6,65,4,1,1,453,503,439,344,532,529
2018,5,9,25,71.25,3,1,1,503,439,344,532,457,453
2018,5,8,24.1,77,2,1,1,439,344,532,457,335,503
2018,5,7,25.4,74,1,1,3,344,532,457,335,512,439
2018,5,4,29.5,67.75,5,3,1,532,457,335,512,481,344
2018,5,3,29,73.5,4,1,1,457,335,512,481,533,532
2018,5,2,27.5,72.75,3,1,5,335,512,481,533,460,457
2018,4,27,28.6,72.5,5,5,1,512,481,533,460,320,335
2018,4,26,27.8,75.25,4,1,1,481,533,460,320,526,512
2018,4,25,28.2,70.75,3,1,1,533,460,320,526,488,481
2018,4,24,27,68.75,2,1,1,460,320,526,488,547,533
2018,4,23,26.7,72.5,1,1,3,320,526,488,547,448,460
2018,4,20,25.8,58.5,5,3,1,526,488,547,448,349,320
2018,4,19,26.2,62.75,4,1,1,488,547,448,349,532,526
2018,4,18,25.1,64,3,1,1,547,448,349,532,491,488
2018,4,17,23.3,75.25,2,1,1,448,349,532,491,572,547
2018,4,16,21.2,84.5,1,1,3,349,532,491,572,443,448
2018,4,13,29.8,65.25,5,3,1,532,491,572,443,398,349
2018,4,12,28.2,72.25,4,1,1,491,572,443,398,568,532
2018,4,11,27.7,69,3,1,1,572,443,398,568,465,491
2018,4,10,28.2,68.25,2,1,1,443,398,568,465,551,572
2018,4,9,27.8,74.25,1,1,3,398,568,465,551,486,443
2018,4,6,27.2,72,5,3,1,568,465,551,486,424,398
2018,4,5,27.8,74.25,4,1,1,465,551,486,424,398,568
2018,4,4,26.8,79,3,1,1,551,486,424,398,520,465
2018,4,3,26.3,81.5,2,1,1,486,424,398,520,463,551
2018,4,2,26,77.5,1,1,4,424,398,520,463,389,486
2018,3,29,28.5,77.75,4,4,1,398,520,463,389,525,424
2018,3,28,28.2,83,3,1,1,520,463,389,525,490,398
2018,3,27,28.6,86,2,1,1,463,389,525,490,553,520
2018,3,26,28.2,81.75,1,1,3,389,525,490,553,340,463
2018,3,23,30,75.25,5,3,1,525,490,553,340,544,389
2018,3,22,26.4,80.5,4,1,1,490,553,340,544,500,525
2018,3,21,27,79.25,3,1,1,553,340,544,500,548,490
2018,3,20,31,79.25,2,1,4,340,544,500,548,413,553
2018,3,16,30.5,72.5,5,4,1,544,500,548,413,378,340
2018,3,15,31,66,4,1,1,500,548,413,378,514,544
2018,3,14,33.6,72.5,3,1,1,548,413,378,514,502,500
2018,3,13,29.3,81.5,2,1,1,413,378,514,502,502,548
2018,3,12,31.2,76.75,1,1,3,378,514,502,502,430,413
2018,3,9,26.8,77.25,5,3,1,514,502,502,430,308,378
2018,3,8,23.8,86.5,4,1,1,502,502,430,308,461,514
2018,3,7,30,84.25,3,1,1,502,430,308,461,443,502
2018,3,6,29.8,81,2,1,1,430,308,461,443,470,502
2018,3,5,31.2,77.5,1,1,3,308,461,443,470,446,430
2018,3,2,31.4,83.75,5,3,1,461,443,470,446,42,308
2018,3,1,30.6,80.25,4,1,1,443,470,446,42,70,461
2018,2,28,30.3,77,3,1,1,470,446,42,70,64,443
2018,2,27,28.5,84,2,1,1,446,42,70,64,101,470
2018,2,26,27.2,88,1,1,69,42,70,64,101,178,446
2017,12,19,29.9,77.25,2,69,1,70,64,101,178,215,42
2017,12,18,29.2,74.25,1,1,3,64,101,178,215,263,70
2017,12,15,31.9,67.5,5,3,1,101,178,215,263,145,64
2017,12,14,31.6,56.5,4,1,1,178,215,263,145,295,101
2017,12,13,27.1,74.5,3,1,1,215,263,145,295,351,178
2017,12,12,21.1,80.25,2,1,1,263,145,295,351,387,215
2017,12,11,30.8,74.5,1,1,3,145,295,351,387,294,263
2017,12,8,28.2,90.75,5,3,1,295,351,387,294,194,145
2017,12,7,27.3,79.75,4,1,1,351,387,294,194,460,295
2017,12,6,29.2,74.25,3,1,1,387,294,194,460,363,351
2017,12,5,28.2,71.25,2,1,1,294,194,460,363,437,387
2017,12,4,30.7,76.25,1,1,3,194,460,363,437,314,294
2017,12,1,25.2,79,5,3,1,460,363,437,314,212,194
2017,11,30,24.3,72.75,4,1,1,363,437,314,212,396,460
2017,11,29,26.2,69,3,1,1,437,314,212,396,336,363
