@relation 'alunos almoco sem feriados - teste-weka.filters.unsupervised.attribute.Remove-R1'

@attribute Temperatura numeric
@attribute Precipitação numeric
@attribute Segunda numeric
@attribute Terça numeric
@attribute Quarta numeric
@attribute Quinta numeric
@attribute Sexta numeric
@attribute Primavera numeric
@attribute Verao numeric
@attribute Outono numeric
@attribute Inverno numeric
@attribute 'Distancia Data Posterior' numeric
@attribute 'Distancia Data Anterior' numeric
@attribute 'Vendas 1d anterior' numeric
@attribute 'Vendas 2d anterior' numeric
@attribute 'Vendas 3d anterior' numeric
@attribute 'Vendas 4d anterior' numeric
@attribute 'Vendas 5d anterior' numeric
@attribute 'TOTAL VENDIDO ALMOCO' numeric

@data
26.8,75.5,0,0,0,1,0,0,0,0,1,1,1,413,432,312,417,402,416
23.7,73.25,0,0,1,0,0,0,0,0,1,1,1,432,312,417,402,381,413
24,70.25,0,1,0,0,0,0,0,0,1,1,1,312,417,402,381,337,432
25,70,1,0,0,0,0,0,0,0,1,1,4,417,402,381,337,288,312
22.1,76.25,0,0,0,1,0,0,0,0,1,4,1,402,381,337,288,429,417
16,78.75,0,0,1,0,0,0,0,0,1,1,1,381,337,288,429,387,402
17.2,81.5,0,1,0,0,0,0,0,0,1,1,1,337,288,429,387,495,381
26,80.5,1,0,0,0,0,0,0,0,1,1,3,288,429,387,495,337,337
29.8,45.5,0,0,0,0,1,0,0,0,1,3,1,429,387,495,337,243,288
29.2,47.5,0,0,0,1,0,0,0,0,1,1,1,387,495,337,243,485,429
25.7,61.5,0,0,1,0,0,0,0,0,1,1,1,495,337,243,485,415,387
24.8,77.5,0,1,0,0,0,0,0,0,1,1,1,337,243,485,415,465,495
16.8,82.25,1,0,0,0,0,0,0,0,1,1,3,243,485,415,465,358,337
29.7,50.25,0,0,0,0,1,0,0,0,1,3,1,485,415,465,358,260,243
27.7,56,0,0,0,1,0,0,0,0,1,1,1,415,465,358,260,460,485
26.5,64.75,0,0,1,0,0,0,0,0,1,1,1,465,358,260,460,436,415
28.8,64.75,0,1,0,0,0,0,0,0,1,1,1,358,260,460,436,467,465
