,parameters,MLP1_predictions,MLP2_predictions,pred_RNN_ENDO_1_val,pred_RNN_ENDO_2_val,pred_MLP_ENDO_1_val,pred_RNN_EXO_1_val,pred_RNN_EXO_2_val,pred_RNN_EXO_3_val,pred_RNN_ENDO_1_NEW_val,pred_RNN_ENDO_1_NEW_test,pred_RNN_ENDO_1_test,pred_RNN_ENDO_2_test,pred_MLP_ENDO_1_test,pred_RNN_EXO_1_test,pred_RNN_EXO_2_test,pred_RNN_EXO_3_test
0,TOTAL_PROJETADAS,30650.3210105896,35026.58425140381,33863.89338302612,33378.14702606201,33430.26951599121,30887.85809326172,32278.785064697266,33638.59764099121,33863.89338302612,32575.734992980957,32210.817741394043,31578.036279678345,31127.21600341797,30887.85809326172,32278.785064697266,29909.575973510742
1,TOTAL_CONSUMIDAS,35555.0,35555.0,35555.0,35555.0,35555.0,31962.0,31962.0,35555.0,35555.0,31962.0,31962.0,31962.0,31962.0,31962.0,31962.0,31962.0
2,TOTAL_SUBPROJETADAS,-7112.8503074646,-3595.3541107177734,-4170.648094177246,-4753.931617736816,-4479.194107055664,-4237.491302490234,-4049.1148071289062,-5546.7901611328125,-4170.648094177246,-3218.668876647949,-3621.84822845459,-3564.2610759735107,-4084.3324966430664,-4237.491302490234,-4049.1148071289062,-5220.553512573242
3,TOTAL_SUPERPROJETADAS,2208.171318054199,3066.938362121582,2479.541477203369,2577.078643798828,2354.463623046875,3163.349395751953,4365.899871826172,3630.3878021240234,2479.541477203369,3832.4038696289062,3870.665969848633,3180.2973556518555,3249.548500061035,3163.349395751953,4365.899871826172,3168.1294860839844
4,ERRO_ABS_MEDIO,89.21435546875,49.28619384765625,56.457794189453125,64.1580810546875,51.2520751953125,75.03739929199219,80.85212707519531,94.58084106445312,56.457794189453125,58.448577880859375,61.37397766113281,49.91093063354492,52.02772521972656,75.03739929199219,80.85212707519531,85.46072387695312
5,ERRO_ABS_PER_MEDIO,641073.4249325899,420779.5556059287,760649.4028773695,834966.807417945,644143.6486181373,84.36882098007138,103.84450052728337,784528.4148946571,760649.4028773695,85.03661261748287,83.23457098300922,78.80737684643123,80.4525061786001,84.36882098007138,103.84450052728337,86.48147739804386
