Data,Temperatura,Precipitacao,Segunda,Terca,Quarta,Quinta,Sexta,Primavera,Verao,Outono,Inverno,Distancia Data Posterior,Distancia Data Anterior,Vendas 1d anterior,Vendas 2d anterior,Vendas 3d anterior,Vendas 4d anterior,Vendas 5d anterior,Total
17/08/2018,17.4,83.75,0,0,0,0,0,0,0,0,1,3,1,460,436,467,331,261,260
16/08/2018,17.3,86.25,0,0,0,0,0,0,0,0,1,1,1,436,467,331,261,473,460
15/08/2018,17.8,84,0,0,0,0,0,0,0,0,1,1,1,467,331,261,473,407,436
14/08/2018,27.9,70.75,0,0,0,0,0,0,0,0,1,1,1,331,261,473,407,476,467
13/08/2018,21.4,80.5,0,0,0,0,0,0,0,0,1,1,3,261,473,407,476,305,331
10/08/2018,20.7,48,0,0,0,0,1,0,0,0,1,3,1,473,407,476,305,20,261
09/08/2018,24.6,68.25,0,0,0,1,0,0,0,0,1,1,1,407,476,305,20,40,473
08/08/2018,26,67.75,0,0,1,0,0,0,0,0,1,1,1,476,305,20,40,68,407
07/08/2018,17.8,84.5,0,1,0,0,0,0,0,0,1,1,1,305,20,40,68,110,476
06/08/2018,15.1,89.75,1,0,0,0,0,0,0,0,1,1,24,20,40,68,110,18,305
13/07/2018,23.6,61.5,0,0,0,0,1,0,0,0,1,24,1,40,68,110,18,204,20
12/07/2018,19.4,68.5,0,0,0,1,0,0,0,0,1,1,1,68,110,18,204,216,40
11/07/2018,15.5,76.25,0,0,1,0,0,0,0,0,1,1,1,110,18,204,216,363,68
10/07/2018,15.6,79.5,0,1,0,0,0,0,0,0,1,1,4,18,204,216,363,0,110
06/07/2018,26.6,57,0,0,0,0,1,0,0,0,1,4,1,204,216,363,0,256,18
05/07/2018,28.5,65.25,0,0,0,1,0,0,0,0,1,1,1,216,363,0,256,412,204
04/07/2018,23.7,82.25,0,0,1,0,0,0,0,0,1,1,1,363,0,256,412,73,216
03/07/2018,24.7,77.75,0,1,0,0,0,0,0,0,1,1,1,0,256,412,73,469,363
02/07/2018,27.3,50,1,0,0,0,0,0,0,0,1,1,3,256,412,73,469,391,0
29/06/2018,26.4,57.5,0,0,0,0,1,0,0,0,1,3,1,412,73,469,391,0,256
28/06/2018,26,70,0,0,0,1,0,0,0,0,1,1,1,73,469,391,0,439,412
27/06/2018,23.4,70.75,0,0,1,0,0,0,0,0,1,1,1,469,391,0,439,442,73
26/06/2018,26.5,45,0,1,0,0,0,0,0,0,1,1,1,391,0,439,442,468,469
25/06/2018,27.2,51.25,1,0,0,0,0,0,0,0,1,1,3,0,439,442,468,382,391
22/06/2018,24.6,59.75,0,0,0,0,1,0,0,0,1,3,1,439,442,468,382,353,0
21/06/2018,25.4,58,0,0,0,1,0,0,0,0,1,1,1,442,468,382,353,425,439
20/06/2018,25.5,66.5,0,0,1,0,0,0,0,1,0,1,1,468,382,353,425,453,442
19/06/2018,23.3,80.5,0,1,0,0,0,0,0,1,0,1,1,382,353,425,453,247,468
18/06/2018,22,81.5,1,0,0,0,0,0,0,1,0,1,3,353,425,453,247,261,382
15/06/2018,16.8,86,0,0,0,0,1,0,0,1,0,3,1,425,453,247,261,309,353
