Data,Temperatura,Precipitação,Segunda,Terça,Quarta,Quinta,Sexta,Primavera,Verao,Outono,Inverno,Distancia Data Posterior,Distancia Data Anterior,Vendas 1d anterior,Vendas 2d anterior,Vendas 3d anterior,Vendas 4d anterior,Vendas 5d anterior,TOTAL VENDIDO ALMOCO
14/09/2017,32.7,35.5,0,0,0,1,0,0,0,0,1,1,1,386,477,377,347,480,449
13/09/2017,31.8,47.75,0,0,1,0,0,0,0,0,1,1,1,477,377,347,480,359,386
12/09/2017,31.1,58.25,0,1,0,0,0,0,0,0,1,1,1,377,347,480,359,224,477
11/09/2017,31.9,36.75,1,0,0,0,0,0,0,0,1,1,5,347,480,359,224,450,377
06/09/2017,27.2,68,0,0,1,0,0,0,0,0,1,5,1,480,359,224,450,375,347
05/09/2017,28.7,46.25,0,1,0,0,0,0,0,0,1,1,1,359,224,450,375,491,480
04/09/2017,28.7,41.5,1,0,0,0,0,0,0,0,1,1,3,224,450,375,491,347,359
01/09/2017,23.5,79,0,0,0,0,1,0,0,0,1,3,1,450,375,491,347,266,224
31/08/2017,25.2,81.75,0,0,0,1,0,0,0,0,1,1,1,375,491,347,266,415,450
30/08/2017,31.2,44,0,0,1,0,0,0,0,0,1,1,1,491,347,266,415,405,375
29/08/2017,28.4,65.5,0,1,0,0,0,0,0,0,1,1,1,347,266,415,405,464,491
28/08/2017,27,66.25,1,0,0,0,0,0,0,0,1,1,3,266,415,405,464,358,347
25/08/2017,25.7,73,0,0,0,0,1,0,0,0,1,3,1,415,405,464,358,253,266
24/08/2017,23,72.25,0,0,0,1,0,0,0,0,1,1,1,405,464,358,253,446,415
23/08/2017,22.2,80.5,0,0,1,0,0,0,0,0,1,1,1,464,358,253,446,388,405
22/08/2017,17.7,75.75,0,1,0,0,0,0,0,0,1,1,1,358,253,446,388,523,464
21/08/2017,16.2,91,1,0,0,0,0,0,0,0,1,1,3,253,446,388,523,346,358
18/08/2017,17.2,94.25,0,0,0,0,1,0,0,0,1,3,1,446,388,523,346,245,253
17/08/2017,16.7,93,0,0,0,1,0,0,0,0,1,1,1,388,523,346,245,438,446
16/08/2017,16.8,94.5,0,0,1,0,0,0,0,0,1,1,1,523,346,245,438,361,388
15/08/2017,16.5,90,0,1,0,0,0,0,0,0,1,1,1,346,245,438,361,503,523
14/08/2017,25.2,72,1,0,0,0,0,0,0,0,1,1,3,245,438,361,503,319,346
11/08/2017,23,71.75,0,0,0,0,1,0,0,0,1,3,1,438,361,503,319,39,245
10/08/2017,24,82,0,0,0,1,0,0,0,0,1,1,1,361,503,319,39,45,438
09/08/2017,29.3,46.25,0,0,1,0,0,0,0,0,1,1,1,503,319,39,45,97,361
08/08/2017,27.7,49.25,0,1,0,0,0,0,0,0,1,1,1,319,39,45,97,115,503
07/08/2017,25.5,64.75,1,0,0,0,0,0,0,0,1,1,28,39,45,97,115,138,319
10/07/2017,23.8,71.75,1,0,0,0,0,0,0,0,1,28,3,45,97,115,138,134,39
07/07/2017,20.7,75.75,0,0,0,0,1,0,0,0,1,3,1,97,115,138,134,211,45
06/07/2017,20.4,71.25,0,0,0,1,0,0,0,0,1,1,1,115,138,134,211,308,97
05/07/2017,19.4,72.5,0,0,1,0,0,0,0,0,1,1,1,138,134,211,308,353,115
04/07/2017,17.5,71.5,0,1,0,0,0,0,0,0,1,1,1,134,211,308,353,401,138
03/07/2017,16,69.75,1,0,0,0,0,0,0,0,1,1,3,211,308,353,401,382,134
30/06/2017,24.8,59.5,0,0,0,0,1,0,0,0,1,3,1,308,353,401,382,321,211
29/06/2017,25.2,64.25,0,0,0,1,0,0,0,0,1,1,1,353,401,382,321,352,308
28/06/2017,25,69.5,0,0,1,0,0,0,0,0,1,1,1,401,382,321,352,428,353
27/06/2017,23.5,62.75,0,1,0,0,0,0,0,0,1,1,1,382,321,352,428,453,401
26/06/2017,22.3,76.5,1,0,0,0,0,0,0,0,1,1,3,321,352,428,453,433,382
23/06/2017,22.8,78,0,0,0,0,1,0,0,0,1,3,1,352,428,453,433,376,321
22/06/2017,22.4,74.5,0,0,0,1,0,0,0,0,1,1,1,428,453,433,376,449,352
21/06/2017,19.8,86.25,0,0,1,0,0,0,0,0,1,1,1,453,433,376,449,403,428
20/06/2017,17.6,90.5,0,1,0,0,0,0,0,1,0,1,1,433,376,449,403,286,453
19/06/2017,24.8,75.75,1,0,0,0,0,0,0,1,0,1,5,376,449,403,286,408,433
14/06/2017,20.4,85.5,0,0,1,0,0,0,0,1,0,5,1,449,403,286,408,393,376
13/06/2017,17.9,95.25,0,1,0,0,0,0,0,1,0,1,1,403,286,408,393,442,449
12/06/2017,21.5,71.75,1,0,0,0,0,0,0,1,0,1,3,286,408,393,442,431,403
09/06/2017,23.2,68.5,0,0,0,0,1,0,0,1,0,3,1,408,393,442,431,17,286
