--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/2017 a 31/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempMaxima;Umidade Relativa Media;
83781;20/05/2017;0000;22.3;84;
83781;21/05/2017;0000;19.5;95.75;
83781;22/05/2017;0000;19.5;90.5;
83781;23/05/2017;0000;22;78.5;
83781;24/05/2017;0000;22;87.5;
83781;25/05/2017;0000;27;79;
83781;26/05/2017;0000;28.2;77.75;
83781;27/05/2017;0000;24.2;81.25;
83781;28/05/2017;0000;21.8;88;
83781;29/05/2017;0000;25.2;74.25;
83781;30/05/2017;0000;21.1;87.75;
83781;31/05/2017;0000;25;66.75;
83781;01/06/2017;0000;20.7;80.25;
83781;02/06/2017;0000;21.2;71.25;
83781;03/06/2017;0000;24;78.5;
83781;04/06/2017;0000;28.2;72.5;
83781;05/06/2017;0000;22.4;91.5;
83781;06/06/2017;0000;22.8;91.5;
83781;07/06/2017;0000;27.2;84.5;
83781;08/06/2017;0000;27.4;57.5;
83781;09/06/2017;0000;23.2;68.5;
83781;10/06/2017;0000;19.6;63.25;
83781;11/06/2017;0000;21.8;70.75;
83781;12/06/2017;0000;21.5;71.75;
83781;13/06/2017;0000;17.9;95.25;
83781;14/06/2017;0000;20.4;85.5;
83781;15/06/2017;0000;21;82.25;
83781;16/06/2017;0000;23.3;77.5;
83781;17/06/2017;0000;24.8;68.25;
83781;18/06/2017;0000;24.6;64.75;
83781;19/06/2017;0000;24.8;75.75;
83781;20/06/2017;0000;17.6;90.5;
83781;21/06/2017;0000;19.8;86.25;
83781;22/06/2017;0000;22.4;74.5;
83781;23/06/2017;0000;22.8;78;
83781;24/06/2017;0000;21.9;80.25;
83781;25/06/2017;0000;21.7;72.25;
83781;26/06/2017;0000;22.3;76.5;
83781;27/06/2017;0000;23.5;62.75;
83781;28/06/2017;0000;25;69.5;
83781;29/06/2017;0000;25.2;64.25;
83781;30/06/2017;0000;24.8;59.5;
83781;01/07/2017;0000;21.3;87;
83781;02/07/2017;0000;16.7;77.5;
83781;03/07/2017;0000;16;69.75;
83781;04/07/2017;0000;17.5;71.5;
83781;05/07/2017;0000;19.4;72.5;
83781;06/07/2017;0000;20.4;71.25;
83781;07/07/2017;0000;20.7;75.75;
83781;08/07/2017;0000;21.1;71;
83781;09/07/2017;0000;22.8;70.25;
83781;10/07/2017;0000;23.8;71.75;
83781;11/07/2017;0000;25.1;70.25;
83781;12/07/2017;0000;23.2;74.5;
83781;13/07/2017;0000;22.2;78;
83781;14/07/2017;0000;24;69.25;
83781;15/07/2017;0000;24.8;62;
83781;16/07/2017;0000;24.4;53.75;
83781;17/07/2017;0000;26.1;65.75;
83781;18/07/2017;0000;18;87.5;
83781;19/07/2017;0000;13.9;85.75;
83781;20/07/2017;0000;22.9;79.75;
83781;21/07/2017;0000;24.9;59.75;
83781;22/07/2017;0000;23;71.75;
83781;23/07/2017;0000;25.9;64;
83781;24/07/2017;0000;24.8;57.75;
83781;25/07/2017;0000;25.6;58.5;
83781;26/07/2017;0000;24.7;63.75;
83781;27/07/2017;0000;24.5;69.5;
83781;28/07/2017;0000;21.7;72.5;
83781;29/07/2017;0000;23.2;69.75;
83781;30/07/2017;0000;24;70.25;
83781;31/07/2017;0000;22.5;57.25;
83781;01/08/2017;0000;21.6;56.25;
83781;02/08/2017;0000;25.2;48.75;
83781;03/08/2017;0000;21.7;57.5;
83781;04/08/2017;0000;18.3;82;
83781;05/08/2017;0000;17.4;70;
83781;06/08/2017;0000;19.5;71;
83781;07/08/2017;0000;25.5;64.75;
83781;08/08/2017;0000;27.7;49.25;
83781;09/08/2017;0000;29.3;46.25;
83781;10/08/2017;0000;24;82;
83781;11/08/2017;0000;23;71.75;
83781;12/08/2017;0000;24.5;67.25;
83781;13/08/2017;0000;30.1;61.75;
83781;14/08/2017;0000;25.2;72;
83781;15/08/2017;0000;16.5;90;
83781;16/08/2017;0000;16.8;94.5;
83781;17/08/2017;0000;16.7;93;
83781;18/08/2017;0000;17.2;94.25;
83781;19/08/2017;0000;18;94;
83781;20/08/2017;0000;20.2;95.25;
83781;21/08/2017;0000;16.2;91;
83781;22/08/2017;0000;17.7;75.75;
83781;23/08/2017;0000;22.2;80.5;
83781;24/08/2017;0000;23;72.25;
83781;25/08/2017;0000;25.7;73;
83781;26/08/2017;0000;27.2;56;
83781;27/08/2017;0000;28;54.75;
83781;28/08/2017;0000;27;66.25;
83781;29/08/2017;0000;28.4;65.5;
83781;30/08/2017;0000;31.2;44;
83781;31/08/2017;0000;25.2;81.75;
83781;01/09/2017;0000;23.5;79;
83781;02/09/2017;0000;25.3;68.25;
